0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,page
No,Category,,Salary,,Group,,Initial,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum,224
,,,Code,,,,Step,,,,slab,,,,slab,,,,slab,,,224
9,Corporal/Leading Seaman/Corporal,OR 3-2025,,,II,"53,330",,,10,670,,,9,890,,,,,,,"68,040",224
10,Corporal/Leading Seaman/Corporal,OR 3-2025,,,I,"54,000",,,9,670,,,9,890,,,,,,,"68,040",224
11,Corporal/Leading Seaman/Corporal,OR 3-2025,,,Special,"54,670",,,8,670,,,9,890,,,,,,,"68,040",224
12,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,III,"54,670",,,3,670,,,9,890,,,3,"1,190",,,"68,260",224
13,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,II,"55,340",,,2,670,,,9,890,,,3,"1,190",,,"68,260",224
14,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,I,"56,010",,,1,670,,,9,890,,,3,"1,190",,,"68,260",224
15,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,Special,"56,680",,,9,890,,,3,"1,190",,,,,,,"68,260",224
16,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,III,"56,010",,,1,670,,,9,890,,,3,"1,190",,,"68,260",224
17,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,II,"56,680",,,9,890,,,3,"1,190",,,,,,,"68,260",224
18,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,I,"57,570",,,8,890,,,3,"1,190",,,,,,,"68,260",224
19,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,Special,"58,460",,,7,890,,,3,"1,190",,,,,,,"68,260",224
20,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,III,"59,350",,,6,890,,,14,"1,190",,,,,,,"81,350",224
21,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,II,"60,240",,,5,890,,,14,"1,190",,,,,,,"81,350",224
22,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,I,"61,130",,,4,890,,,14,"1,190",,,,,,,"81,350",224
23,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,Special,"62,020",,,3,890,,,14,"1,190",,,,,,,"81,350",224
