0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,page
No,Category,,Salary,,Group,,Initial,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum,184
,,,Code,,,,Step,,,,slab,,,,slab,,,,slab,,,184
21,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,II,"60,240",,,5,890,,,14,"1,190",,,,,,,"81,350",184
22,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,I,"61,130",,,4,890,,,14,"1,190",,,,,,,"81,350",184
23,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,Special,"62,020",,,3,890,,,14,"1,190",,,,,,,"81,350",184
24,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,III,"65,880",,,13,"1,190",,,,,,,,,,,"81,350",184
25,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,II,"67,070",,,12,"1,190",,,,,,,,,,,"81,350",184
26,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,I,"68,260",,,11,"1,190",,,,,,,,,,,"81,350",184
27,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,Special,"69,450",,,10,"1,190",,,,,,,,,,,"81,350",184
28,Cadet,"Fixed
Salary",,,,"54,670",,,,,,,,,,,,,,,"54,670",184
29,Mid Shipman,"Fixed
Salary",,,,"55,340",,,,,,,,,,,,,,,"55,340",184
30,"2nd Lieutenant (cadet)/ Pilot Officer
(cadet)","Fixed
Salary",,,,"65,880",,,,,,,,,,,,,,,"65,880",184
31,"2nd Lieutenant (non cadet)/ Pilot
Officer (non cadet)","Fixed
Salary",,,,"71,830",,,,,,,,,,,,,,,"71,830",184
32,"Lieutenant / Sub Lieutenant/Flying
Officer",R 1-2025,,,,"82,150",,,30,"2,400",,,,,,,,,,,"154,150",184
33,Quarter Master,R 2-2025,,,,"84,550",,,30,"2,400",,,,,,,,,,,"156,550",184
