0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,page
No,Category,,Salary,,Group,,Initial,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum,183
,,,Code,,,,Step,,,,slab,,,,slab,,,,slab,,,183
7,"Lance Corporal/Able Seaman/Leading
Air Craftsman",OR 2-2025,,,Special,"52,790",,,1,540,,,19,670,,,,,,,"66,060",183
8,Corporal/Leading Seaman/Corporal,OR 3-2025,,,III,"52,790",,,1,540,,,10,670,,,9,890,,,"68,040",183
9,Corporal/Leading Seaman/Corporal,OR 3-2025,,,II,"53,330",,,10,670,,,9,890,,,,,,,"68,040",183
10,Corporal/Leading Seaman/Corporal,OR 3-2025,,,I,"54,000",,,9,670,,,9,890,,,,,,,"68,040",183
11,Corporal/Leading Seaman/Corporal,OR 3-2025,,,Special,"54,670",,,8,670,,,9,890,,,,,,,"68,040",183
12,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,III,"54,670",,,3,670,,,9,890,,,3,"1,190",,,"68,260",183
13,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,II,"55,340",,,2,670,,,9,890,,,3,"1,190",,,"68,260",183
14,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,I,"56,010",,,1,670,,,9,890,,,3,"1,190",,,"68,260",183
15,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,Special,"56,680",,,9,890,,,3,"1,190",,,,,,,"68,260",183
16,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,III,"56,010",,,1,670,,,9,890,,,3,"1,190",,,"68,260",183
17,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,II,"56,680",,,9,890,,,3,"1,190",,,,,,,"68,260",183
18,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,I,"57,570",,,8,890,,,3,"1,190",,,,,,,"68,260",183
19,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,Special,"58,460",,,7,890,,,3,"1,190",,,,,,,"68,260",183
20,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,III,"59,350",,,6,890,,,14,"1,190",,,,,,,"81,350",183
