0,1,2,3,4,5,page
,Item,,,Rs. Billion,,203
,Total Receipts other than Government Borrowings,,,"5,042",,203
,Total Primary Expenditure,,,"4,285",,203
,Recurrent,,,"2,970",,203
,Capital,,,"1,315",,203
,Debt Service Payments,,,"4,550",,203
,Interest Payments,,,"2,950",,203
,Debt Repayments,,,"1,600",,203
,Provision for Advanced Accounts,,,7,,203
,Adjustments for book/cash Value of Government Securities,,,200,,203
"Total Gross Borrowing Requirement to be recorded in
Government Accounts",,,"4,000",,,203
